Store,Lat,Long,Demand Estimate,x,y,r_Distribution Centre Auckland,theta
Countdown Airport,-36.99736985,174.7888823,8.0,-1579.0762838178198,-5401.646144649014,8247.28,-106.29535265845256
Countdown Auckland City,-36.84496186,174.7731192,8.0,-3376.97624788346,11476.115966087207,23019.5,106.39711288434818
Countdown Aviemore Drive,-36.89887827,174.9065699,9.0,8654.610655704106,5763.167064466514,13931.78,33.659929504550504
Countdown Birkenhead,-36.81111802,174.7248776,9.099999999999998,-7768.390256355924,15129.852467400022,28912.2,117.17813394122484
Countdown Blockhouse Bay,-36.92291876,174.7023521,8.0,-9479.406340448535,2676.8167557623237,14273.54,164.23125846862712
Countdown Botany Downs,-36.92972626,174.9110718,9.0,9130.75923205464,2349.3044749293476,13582.16,14.428983328992993
Countdown Browns Bay,-36.71714479,174.7472772,9.0,-6015.490354081907,25603.835897076875,40255.95,103.22155872070064
Countdown Glenfield,-36.78148813,174.7234262,8.0,-7976.1614763918915,18414.335488571785,33762.07,113.419827818242
Countdown Greenlane,-36.88916156,174.7935037,10.0,-1445.816596976656,6614.175418732688,13743.64,102.33053665597922
Countdown Grey Lynn,-36.85144346,174.7318719,10.099999999999998,-7038.156492249342,10670.38444265537,19416.22,123.40873514102782
Countdown Grey Lynn Central,-36.86311836,174.7385667,10.0,-6410.506621492037,9389.155043522827,18315.36,124.32356138497842
Countdown Hauraki Corner,-36.79667981,174.7781249,8.099999999999998,-3055.1565093199024,16843.58035903983,29553.32,100.28076564502769
Countdown Henderson,-36.88089456,174.6332277,8.0,-15753.18018234981,7189.073314270936,23916.17,155.47008517824352
Countdown Highland Park,-36.89933061,174.9084309,8.0,8821.545770849509,5716.616908204742,14076.3,32.94440501956564
Countdown Hobsonville,-36.79748845,174.6487257,9.0,-14599.585128092498,16477.696502698585,30368.69,131.54161710835058
